subject,model,task,requested_seconds,effective_seconds,block,n,correct,accuracy,balanced_accuracy
t16,shrinkage_lda,imagined_word,0.5,0.5,13,14,11,0.7857142857142857,0.7857142857142857
t16,shrinkage_lda,imagined_word,0.5,0.5,14,14,11,0.7857142857142857,0.7857142857142857
t16,shrinkage_lda,attempted_word,0.5,0.5,13,14,9,0.6428571428571429,0.6428571428571429
t16,shrinkage_lda,attempted_word,0.5,0.5,14,14,12,0.8571428571428571,0.8571428571428571
t16,shrinkage_lda,listening_word,0.5,0.5,13,14,11,0.7857142857142857,0.7857142857142857
t16,shrinkage_lda,listening_word,0.5,0.5,14,14,13,0.9285714285714286,0.9285714285714286
t16,shrinkage_lda,behavior,0.5,0.5,13,44,38,0.8636363636363636,0.7857142857142857
t16,shrinkage_lda,behavior,0.5,0.5,14,44,38,0.8636363636363636,0.8928571428571428
t16,diagonal_lda,imagined_word,0.5,0.5,13,14,11,0.7857142857142857,0.7857142857142857
t16,diagonal_lda,imagined_word,0.5,0.5,14,14,11,0.7857142857142857,0.7857142857142857
t16,diagonal_lda,attempted_word,0.5,0.5,13,14,8,0.5714285714285714,0.5714285714285714
t16,diagonal_lda,attempted_word,0.5,0.5,14,14,10,0.7142857142857143,0.7142857142857143
t16,diagonal_lda,listening_word,0.5,0.5,13,14,9,0.6428571428571429,0.6428571428571429
t16,diagonal_lda,listening_word,0.5,0.5,14,14,11,0.7857142857142857,0.7857142857142857
t16,diagonal_lda,behavior,0.5,0.5,13,44,38,0.8636363636363636,0.7857142857142857
t16,diagonal_lda,behavior,0.5,0.5,14,44,35,0.7954545454545454,0.8392857142857143
t16,shrinkage_lda,imagined_word,1.0,1.0,13,14,11,0.7857142857142857,0.7857142857142857
t16,shrinkage_lda,imagined_word,1.0,1.0,14,14,11,0.7857142857142857,0.7857142857142857
t16,shrinkage_lda,attempted_word,1.0,1.0,13,14,14,1.0,1.0
t16,shrinkage_lda,attempted_word,1.0,1.0,14,14,10,0.7142857142857143,0.7142857142857143
t16,shrinkage_lda,listening_word,1.0,1.0,13,14,14,1.0,1.0
t16,shrinkage_lda,listening_word,1.0,1.0,14,14,14,1.0,1.0
t16,shrinkage_lda,behavior,1.0,1.0,13,44,42,0.9545454545454546,0.9642857142857143
t16,shrinkage_lda,behavior,1.0,1.0,14,44,41,0.9318181818181818,0.9464285714285714
t16,diagonal_lda,imagined_word,1.0,1.0,13,14,10,0.7142857142857143,0.7142857142857143
t16,diagonal_lda,imagined_word,1.0,1.0,14,14,11,0.7857142857142857,0.7857142857142857
t16,diagonal_lda,attempted_word,1.0,1.0,13,14,13,0.9285714285714286,0.9285714285714286
t16,diagonal_lda,attempted_word,1.0,1.0,14,14,10,0.7142857142857143,0.7142857142857143
t16,diagonal_lda,listening_word,1.0,1.0,13,14,13,0.9285714285714286,0.9285714285714286
t16,diagonal_lda,listening_word,1.0,1.0,14,14,13,0.9285714285714286,0.9285714285714286
t16,diagonal_lda,behavior,1.0,1.0,13,44,40,0.9090909090909091,0.9285714285714286
t16,diagonal_lda,behavior,1.0,1.0,14,44,41,0.9318181818181818,0.9464285714285714
t17,shrinkage_lda,imagined_word,0.25,0.25,19,70,10,0.14285714285714285,0.14285714285714285
t17,shrinkage_lda,attempted_word,0.25,0.25,19,35,8,0.22857142857142856,0.2285714285714286
t17,shrinkage_lda,listening_word,0.25,0.25,19,35,4,0.11428571428571428,0.1142857142857143
t17,shrinkage_lda,behavior,0.25,0.25,19,145,62,0.42758620689655175,0.33214285714285713
t17,diagonal_lda,imagined_word,0.25,0.25,19,70,10,0.14285714285714285,0.14285714285714285
t17,diagonal_lda,attempted_word,0.25,0.25,19,35,7,0.2,0.19999999999999998
t17,diagonal_lda,listening_word,0.25,0.25,19,35,7,0.2,0.2
t17,diagonal_lda,behavior,0.25,0.25,19,145,62,0.42758620689655175,0.3392857142857143
t17,shrinkage_lda,imagined_word,0.5,0.5,19,70,23,0.32857142857142857,0.32857142857142857
t17,shrinkage_lda,attempted_word,0.5,0.5,19,35,12,0.34285714285714286,0.34285714285714286
t17,shrinkage_lda,listening_word,0.5,0.5,19,35,4,0.11428571428571428,0.1142857142857143
t17,shrinkage_lda,behavior,0.5,0.5,19,145,88,0.6068965517241379,0.4642857142857143
t17,diagonal_lda,imagined_word,0.5,0.5,19,70,23,0.32857142857142857,0.32857142857142857
t17,diagonal_lda,attempted_word,0.5,0.5,19,35,12,0.34285714285714286,0.3428571428571429
t17,diagonal_lda,listening_word,0.5,0.5,19,35,2,0.05714285714285714,0.05714285714285715
t17,diagonal_lda,behavior,0.5,0.5,19,145,84,0.5793103448275863,0.4392857142857143
t17,shrinkage_lda,imagined_word,1.0,1.0,19,70,21,0.3,0.3
t17,shrinkage_lda,attempted_word,1.0,1.0,19,35,18,0.5142857142857142,0.5142857142857143
t17,shrinkage_lda,listening_word,1.0,1.0,19,35,9,0.2571428571428571,0.2571428571428572
t17,shrinkage_lda,behavior,1.0,1.0,19,145,89,0.6137931034482759,0.4892857142857143
t17,diagonal_lda,imagined_word,1.0,1.0,19,70,16,0.22857142857142856,0.22857142857142856
t17,diagonal_lda,attempted_word,1.0,1.0,19,35,17,0.4857142857142857,0.4857142857142857
t17,diagonal_lda,listening_word,1.0,1.0,19,35,5,0.14285714285714285,0.14285714285714285
t17,diagonal_lda,behavior,1.0,1.0,19,145,94,0.6482758620689655,0.5107142857142857
