subject,model,task,requested_seconds,effective_seconds,train_n,test_n,accuracy,balanced_accuracy,chance,null_balanced_mean,classes,confusion
t12,shrinkage_lda,behavior,1.0,1.0,308,88,0.9090909090909091,0.8214285714285714,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[25, 0, 3, 0], [0, 2, 0, 2], [0, 0, 28, 0], [0, 1, 2, 25]]"
t12,diagonal_lda,imagined_word,1.0,1.0,98,28,0.6428571428571429,0.6428571428571429,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[4, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 1, 1, 0, 0, 0, 2]]"
t12,diagonal_lda,attempted_word,1.0,1.0,98,28,0.9642857142857143,0.9642857142857143,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[4, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 1, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 4]]"
t12,diagonal_lda,listening_word,1.0,1.0,98,28,0.32142857142857145,0.32142857142857145,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 0, 2, 0, 0], [0, 1, 1, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 2], [0, 0, 0, 2, 0, 1, 1], [0, 0, 1, 0, 1, 0, 2], [2, 0, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 2]]"
t12,diagonal_lda,behavior,1.0,1.0,308,88,0.8977272727272727,0.8125,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[26, 0, 2, 0], [0, 2, 0, 2], [0, 0, 28, 0], [0, 1, 4, 23]]"
t15,shrinkage_lda,imagined_word,0.25,0.25,168,70,0.22857142857142856,0.2285714285714286,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 1, 1, 5, 2, 1, 0], [0, 2, 4, 1, 0, 0, 3], [1, 2, 1, 1, 1, 1, 3], [1, 2, 1, 3, 1, 1, 1], [2, 1, 1, 3, 0, 1, 2], [0, 1, 2, 0, 0, 5, 2], [0, 0, 2, 3, 0, 0, 5]]"
t15,shrinkage_lda,attempted_word,0.25,0.25,84,35,0.45714285714285713,0.4571428571428572,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 0, 0, 0, 2], [0, 3, 0, 0, 0, 0, 2], [2, 0, 2, 0, 0, 0, 1], [1, 0, 0, 2, 0, 0, 2], [1, 0, 0, 0, 2, 0, 2], [0, 0, 1, 0, 0, 1, 3], [2, 0, 0, 0, 0, 0, 3]]"
t15,shrinkage_lda,listening_word,0.25,0.25,84,35,0.14285714285714285,0.14285714285714285,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 0, 0, 1, 1, 1, 2], [0, 0, 0, 0, 1, 0, 4], [2, 1, 0, 1, 1, 0, 0], [1, 0, 1, 0, 2, 0, 1], [0, 1, 1, 0, 3, 0, 0], [2, 0, 0, 0, 1, 0, 2], [2, 1, 0, 0, 0, 0, 2]]"
t15,shrinkage_lda,behavior,0.25,0.25,348,145,0.7586206896551724,0.6678571428571428,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[22, 0, 9, 4], [0, 2, 1, 2], [2, 5, 57, 6], [0, 0, 6, 29]]"
t15,diagonal_lda,imagined_word,0.25,0.25,168,70,0.17142857142857143,0.17142857142857146,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 7, 1, 0, 0], [3, 0, 0, 5, 0, 0, 2], [2, 0, 0, 6, 0, 0, 2], [2, 0, 0, 8, 0, 0, 0], [3, 1, 0, 5, 0, 0, 1], [1, 1, 0, 6, 0, 1, 1], [1, 1, 0, 7, 0, 0, 1]]"
t15,diagonal_lda,attempted_word,0.25,0.25,84,35,0.45714285714285713,0.4571428571428572,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 1, 0, 0, 0, 2], [0, 3, 0, 0, 0, 0, 2], [1, 1, 2, 0, 0, 0, 1], [1, 0, 0, 2, 0, 0, 2], [2, 0, 0, 0, 1, 0, 2], [0, 0, 0, 0, 0, 2, 3], [1, 0, 0, 0, 0, 0, 4]]"
t15,diagonal_lda,listening_word,0.25,0.25,84,35,0.22857142857142856,0.2285714285714286,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 0, 0, 2, 1, 1, 1], [0, 0, 0, 0, 1, 0, 4], [3, 0, 0, 0, 2, 0, 0], [1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 1, 3, 0, 1], [0, 0, 0, 0, 2, 1, 2], [1, 1, 0, 0, 0, 0, 3]]"
t15,diagonal_lda,behavior,0.25,0.25,348,145,0.46206896551724136,0.5714285714285714,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[21, 5, 0, 9], [0, 3, 0, 2], [3, 18, 10, 39], [0, 0, 2, 33]]"
t15,shrinkage_lda,imagined_word,0.5,0.5,168,70,0.3,0.3,0.14285714285714285,0.14227405247813413,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 0, 0, 7, 2, 0, 0], [0, 4, 2, 2, 0, 1, 1], [0, 1, 0, 6, 1, 0, 2], [0, 1, 1, 5, 0, 1, 2], [2, 2, 0, 5, 0, 0, 1], [0, 1, 0, 0, 0, 8, 1], [0, 1, 0, 5, 1, 0, 3]]"
t15,shrinkage_lda,attempted_word,0.5,0.5,84,35,0.6571428571428571,0.6571428571428573,0.14285714285714285,0.13760932944606413,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[4, 0, 0, 0, 0, 0, 1], [0, 3, 0, 0, 0, 0, 2], [2, 0, 2, 0, 0, 0, 1], [2, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 4, 0, 1], [0, 0, 0, 0, 0, 3, 2], [0, 0, 1, 0, 0, 0, 4]]"
t15,shrinkage_lda,listening_word,0.5,0.5,84,35,0.45714285714285713,0.4571428571428572,0.14285714285714285,0.13702623906705538,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 1, 0, 0, 2], [1, 3, 0, 0, 0, 0, 1], [4, 0, 0, 0, 0, 0, 1], [2, 0, 0, 2, 0, 0, 1], [1, 0, 0, 1, 2, 0, 1], [1, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 4]]"
t15,shrinkage_lda,behavior,0.5,0.5,348,145,0.8482758620689655,0.7928571428571429,0.25,0.24497084548104955,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[27, 1, 4, 3], [0, 3, 1, 1], [0, 4, 60, 6], [0, 0, 2, 33]]"
t15,diagonal_lda,imagined_word,0.5,0.5,168,70,0.3,0.3,0.14285714285714285,0.139067055393586,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 7, 0, 0, 0], [1, 3, 0, 5, 0, 0, 1], [0, 0, 0, 6, 0, 0, 4], [1, 0, 0, 8, 0, 0, 1], [0, 1, 0, 9, 0, 0, 0], [0, 0, 0, 1, 0, 6, 3], [0, 1, 0, 8, 0, 0, 1]]"
t15,diagonal_lda,attempted_word,0.5,0.5,84,35,0.6,0.6,0.14285714285714285,0.1446064139941691,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 1, 0, 0, 0, 2], [0, 3, 0, 0, 0, 0, 2], [2, 0, 2, 0, 0, 0, 1], [0, 1, 0, 3, 0, 0, 1], [0, 0, 0, 0, 3, 0, 2], [0, 0, 0, 0, 0, 3, 2], [0, 0, 0, 0, 0, 0, 5]]"
t15,diagonal_lda,listening_word,0.5,0.5,84,35,0.37142857142857144,0.37142857142857144,0.14285714285714285,0.14752186588921282,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 1, 0, 0, 2], [1, 2, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 3], [1, 0, 0, 1, 1, 0, 2], [1, 0, 0, 1, 3, 0, 0], [0, 0, 0, 1, 0, 2, 2], [0, 1, 0, 1, 0, 0, 3]]"
t15,diagonal_lda,behavior,0.5,0.5,348,145,0.5517241379310345,0.6857142857142857,0.25,0.2196064139941691,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[27, 3, 0, 5], [0, 4, 0, 1], [0, 34, 16, 20], [0, 1, 1, 33]]"
t15,shrinkage_lda,imagined_word,1.0,1.0,168,70,0.3,0.29999999999999993,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 0, 2, 7, 1, 0, 0], [0, 5, 0, 4, 0, 0, 1], [0, 0, 0, 8, 1, 0, 1], [0, 0, 2, 7, 0, 1, 0], [1, 1, 0, 6, 0, 0, 2], [0, 0, 0, 2, 1, 6, 1], [0, 2, 0, 4, 1, 0, 3]]"
t15,shrinkage_lda,attempted_word,1.0,1.0,84,35,0.8,0.7999999999999999,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[5, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 1], [0, 0, 5, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 2], [0, 0, 1, 0, 4, 0, 0], [0, 0, 0, 0, 0, 3, 2], [0, 0, 1, 0, 0, 0, 4]]"
t15,shrinkage_lda,listening_word,1.0,1.0,84,35,0.6571428571428571,0.6571428571428571,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 1, 0, 0, 2], [0, 5, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 5], [0, 0, 0, 2, 0, 0, 3], [0, 0, 0, 0, 5, 0, 0], [0, 0, 0, 0, 0, 5, 0], [0, 1, 0, 0, 0, 0, 4]]"
t15,shrinkage_lda,behavior,1.0,1.0,348,145,0.7724137931034483,0.8071428571428572,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[28, 3, 2, 2], [0, 4, 0, 1], [0, 7, 46, 17], [0, 0, 1, 34]]"
t15,diagonal_lda,imagined_word,1.0,1.0,168,70,0.2571428571428571,0.2571428571428572,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[5, 0, 0, 4, 0, 0, 1], [4, 1, 0, 3, 0, 0, 2], [1, 2, 0, 1, 0, 0, 6], [3, 0, 0, 5, 0, 0, 2], [2, 0, 0, 3, 0, 0, 5], [2, 0, 0, 3, 0, 3, 2], [3, 0, 0, 2, 1, 0, 4]]"
t15,diagonal_lda,attempted_word,1.0,1.0,84,35,0.7714285714285715,0.7714285714285714,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[5, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 1], [0, 0, 3, 0, 0, 0, 2], [0, 0, 0, 3, 0, 0, 2], [0, 1, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 3, 2], [0, 0, 0, 0, 0, 0, 5]]"
t15,diagonal_lda,listening_word,1.0,1.0,84,35,0.4857142857142857,0.48571428571428577,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 0, 0, 1, 0, 0, 3], [0, 1, 0, 1, 0, 0, 3], [0, 0, 0, 0, 0, 0, 5], [0, 0, 0, 2, 0, 0, 3], [0, 0, 0, 0, 4, 0, 1], [0, 0, 0, 0, 0, 5, 0], [0, 1, 0, 0, 0, 0, 4]]"
t15,diagonal_lda,behavior,1.0,1.0,348,145,0.4689655172413793,0.5964285714285714,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[26, 5, 0, 4], [0, 3, 0, 2], [0, 26, 5, 39], [0, 0, 1, 34]]"
t16,shrinkage_lda,imagined_word,0.25,0.24,98,28,0.4642857142857143,0.4642857142857143,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 0, 0, 0, 1, 1, 1], [0, 2, 0, 1, 0, 1, 0], [0, 0, 2, 0, 0, 1, 1], [1, 0, 0, 1, 2, 0, 0], [0, 0, 0, 1, 2, 1, 0], [0, 0, 0, 0, 0, 2, 2], [0, 1, 0, 0, 0, 0, 3]]"
t16,shrinkage_lda,attempted_word,0.25,0.24,98,28,0.5357142857142857,0.5357142857142857,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 1, 0, 1, 0, 1, 1], [1, 3, 0, 0, 0, 0, 0], [1, 0, 1, 1, 0, 1, 0], [0, 0, 0, 3, 0, 0, 1], [0, 0, 0, 1, 1, 2, 0], [0, 0, 0, 1, 0, 3, 0], [0, 0, 0, 0, 0, 0, 4]]"
t16,shrinkage_lda,listening_word,0.25,0.24,98,28,0.14285714285714285,0.14285714285714285,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 2, 0, 0, 1, 0, 0], [1, 0, 1, 1, 0, 0, 1], [0, 0, 0, 1, 3, 0, 0], [0, 0, 1, 0, 1, 0, 2], [0, 0, 0, 1, 2, 0, 1], [1, 0, 2, 0, 1, 0, 0], [0, 0, 1, 0, 2, 0, 1]]"
t16,shrinkage_lda,behavior,0.25,0.24,308,88,0.6931818181818182,0.6517857142857143,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[18, 2, 7, 1], [0, 2, 0, 2], [5, 3, 19, 1], [1, 1, 4, 22]]"
t16,diagonal_lda,imagined_word,0.25,0.24,98,28,0.5,0.5,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[2, 0, 0, 0, 1, 0, 1], [0, 2, 0, 1, 1, 0, 0], [0, 0, 1, 0, 1, 1, 1], [2, 0, 0, 2, 0, 0, 0], [1, 0, 0, 1, 1, 1, 0], [0, 0, 0, 0, 0, 3, 1], [0, 1, 0, 0, 0, 0, 3]]"
t16,diagonal_lda,attempted_word,0.25,0.24,98,28,0.5,0.5,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[0, 0, 0, 1, 0, 1, 2], [1, 3, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 2, 1], [0, 0, 0, 3, 0, 0, 1], [1, 0, 0, 1, 2, 0, 0], [0, 0, 0, 1, 0, 3, 0], [1, 0, 0, 0, 0, 0, 3]]"
t16,diagonal_lda,listening_word,0.25,0.24,98,28,0.17857142857142858,0.17857142857142858,0.14285714285714285,,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[1, 1, 0, 1, 1, 0, 0], [1, 1, 1, 0, 0, 0, 1], [0, 0, 0, 2, 2, 0, 0], [0, 1, 0, 0, 1, 0, 2], [0, 0, 0, 1, 2, 0, 1], [1, 0, 2, 0, 1, 0, 0], [0, 0, 1, 0, 2, 0, 1]]"
t16,diagonal_lda,behavior,0.25,0.24,308,88,0.7272727272727273,0.6785714285714285,0.25,,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[18, 1, 8, 1], [0, 2, 0, 2], [4, 1, 22, 1], [1, 2, 3, 22]]"
t16,shrinkage_lda,imagined_word,0.5,0.5,98,28,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.13338192419825073,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 1, 0, 0], [0, 0, 4, 0, 0, 0, 0], [1, 0, 0, 3, 0, 0, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 4]]"
t16,shrinkage_lda,attempted_word,0.5,0.5,98,28,0.75,0.75,0.14285714285714285,0.1392128279883382,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 0, 0, 1, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 3, 0], [0, 0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 4, 0], [1, 0, 0, 0, 0, 0, 3]]"
t16,shrinkage_lda,listening_word,0.5,0.5,98,28,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14067055393586003,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[4, 0, 0, 0, 0, 0, 0], [0, 4, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0, 0, 4, 0, 0, 0], [0, 0, 1, 0, 3, 0, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 4]]"
t16,shrinkage_lda,behavior,0.5,0.5,308,88,0.8636363636363636,0.8392857142857143,0.25,0.24927113702623904,"[""attempted"", ""idle"", ""imagined"", ""listening""]","[[20, 1, 7, 0], [0, 3, 1, 0], [2, 1, 25, 0], [0, 0, 0, 28]]"
t16,diagonal_lda,imagined_word,0.5,0.5,98,28,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.13338192419825073,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 0, 0, 1, 0], [0, 3, 0, 0, 1, 0, 0], [0, 0, 4, 0, 0, 0, 0], [1, 0, 0, 3, 0, 0, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 0, 0, 4]]"
t16,diagonal_lda,attempted_word,0.5,0.5,98,28,0.6428571428571429,0.6428571428571429,0.14285714285714285,0.14577259475218657,"[""ban"", ""choice"", ""day"", ""feel"", ""kite"", ""though"", ""were""]","[[3, 0, 0, 0, 0, 1, 0], [1, 3, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 1, 0], [0, 0, 0, 2, 0, 2, 0], [1, 0, 0, 0, 3, 0, 0], [1, 0, 0, 1, 0, 2, 0], [1, 0, 0, 0, 0, 0, 3]]"
