subject,model,threshold,trial,block,truth,prediction,outcome,go_relative_seconds,go_events
t15,shrinkage_lda,1.01,562,8,were,,miss,,0
t15,shrinkage_lda,1.01,564,8,were,,miss,,0
t15,shrinkage_lda,1.01,570,8,were,,miss,,0
t15,shrinkage_lda,1.01,571,8,kite,,miss,,0
t15,shrinkage_lda,1.01,572,8,day,,miss,,0
t15,shrinkage_lda,1.01,575,8,were,,miss,,0
t15,shrinkage_lda,1.01,577,8,choice,,miss,,0
t15,shrinkage_lda,1.01,584,8,choice,,miss,,0
t15,shrinkage_lda,1.01,585,8,though,,miss,,0
t15,shrinkage_lda,1.01,586,8,kite,,miss,,0
t15,shrinkage_lda,1.01,587,8,ban,,miss,,0
t15,shrinkage_lda,1.01,588,8,ban,,miss,,0
t15,shrinkage_lda,1.01,592,8,were,,miss,,0
t15,shrinkage_lda,1.01,593,8,though,,miss,,0
t15,shrinkage_lda,1.01,594,8,though,,miss,,0
t15,shrinkage_lda,1.01,595,8,feel,,miss,,0
t15,shrinkage_lda,1.01,596,8,though,,miss,,0
t15,shrinkage_lda,1.01,600,8,kite,,miss,,0
t15,shrinkage_lda,1.01,602,8,kite,,miss,,0
t15,shrinkage_lda,1.01,603,8,day,,miss,,0
t15,shrinkage_lda,1.01,606,8,ban,,miss,,0
t15,shrinkage_lda,1.01,607,8,day,,miss,,0
t15,shrinkage_lda,1.01,608,8,choice,,miss,,0
t15,shrinkage_lda,1.01,609,8,were,,miss,,0
t15,shrinkage_lda,1.01,610,8,feel,,miss,,0
t15,shrinkage_lda,1.01,613,8,choice,,miss,,0
t15,shrinkage_lda,1.01,616,8,though,,miss,,0
t15,shrinkage_lda,1.01,623,8,choice,,miss,,0
t15,shrinkage_lda,1.01,626,8,day,,miss,,0
t15,shrinkage_lda,1.01,629,8,feel,,miss,,0
t15,shrinkage_lda,1.01,630,8,though,,miss,,0
t15,shrinkage_lda,1.01,633,8,kite,,miss,,0
t15,shrinkage_lda,1.01,634,8,ban,,miss,,0
t15,shrinkage_lda,1.01,635,8,ban,,miss,,0
t15,shrinkage_lda,1.01,636,8,day,,miss,,0
t15,shrinkage_lda,1.01,637,8,ban,,miss,,0
t15,diagonal_lda,1.01,493,8,though,,miss,,0
t15,diagonal_lda,1.01,495,8,day,,miss,,0
t15,diagonal_lda,1.01,497,8,kite,,miss,,0
t15,diagonal_lda,1.01,498,8,were,,miss,,0
t15,diagonal_lda,1.01,499,8,feel,,miss,,0
t15,diagonal_lda,1.01,500,8,choice,,miss,,0
t15,diagonal_lda,1.01,501,8,though,,miss,,0
t15,diagonal_lda,1.01,504,8,day,,miss,,0
t15,diagonal_lda,1.01,505,8,ban,,miss,,0
t15,diagonal_lda,1.01,508,8,though,,miss,,0
t15,diagonal_lda,1.01,510,8,kite,,miss,,0
t15,diagonal_lda,1.01,511,8,were,,miss,,0
t15,diagonal_lda,1.01,513,8,feel,,miss,,0
t15,diagonal_lda,1.01,514,8,day,,miss,,0
t15,diagonal_lda,1.01,515,8,choice,,miss,,0
t15,diagonal_lda,1.01,516,8,kite,,miss,,0
t15,diagonal_lda,1.01,519,8,ban,,miss,,0
t15,diagonal_lda,1.01,520,8,kite,,miss,,0
t15,diagonal_lda,1.01,526,8,feel,,miss,,0
t15,diagonal_lda,1.01,527,8,feel,,miss,,0
t15,diagonal_lda,1.01,528,8,feel,,miss,,0
t15,diagonal_lda,1.01,529,8,choice,,miss,,0
t15,diagonal_lda,1.01,536,8,ban,,miss,,0
t15,diagonal_lda,1.01,540,8,feel,,miss,,0
t15,diagonal_lda,1.01,544,8,feel,,miss,,0
t15,diagonal_lda,1.01,546,8,day,,miss,,0
t15,diagonal_lda,1.01,548,8,choice,,miss,,0
t15,diagonal_lda,1.01,549,8,though,,miss,,0
t15,diagonal_lda,1.01,550,8,kite,,miss,,0
t15,diagonal_lda,1.01,551,8,were,,miss,,0
t15,diagonal_lda,1.01,552,8,choice,,miss,,0
t15,diagonal_lda,1.01,553,8,ban,,miss,,0
t15,diagonal_lda,1.01,554,8,day,,miss,,0
t15,diagonal_lda,1.01,556,8,were,,miss,,0
t15,diagonal_lda,1.01,562,8,were,,miss,,0
t15,diagonal_lda,1.01,564,8,were,,miss,,0
t15,diagonal_lda,1.01,570,8,were,,miss,,0
t15,diagonal_lda,1.01,571,8,kite,,miss,,0
t15,diagonal_lda,1.01,572,8,day,,miss,,0
t15,diagonal_lda,1.01,575,8,were,,miss,,0
t15,diagonal_lda,1.01,577,8,choice,,miss,,0
t15,diagonal_lda,1.01,584,8,choice,,miss,,0
t15,diagonal_lda,1.01,585,8,though,,miss,,0
t15,diagonal_lda,1.01,586,8,kite,,miss,,0
t15,diagonal_lda,1.01,587,8,ban,,miss,,0
t15,diagonal_lda,1.01,588,8,ban,,miss,,0
t15,diagonal_lda,1.01,592,8,were,,miss,,0
t15,diagonal_lda,1.01,593,8,though,,miss,,0
t15,diagonal_lda,1.01,594,8,though,,miss,,0
t15,diagonal_lda,1.01,595,8,feel,,miss,,0
t15,diagonal_lda,1.01,596,8,though,,miss,,0
t15,diagonal_lda,1.01,600,8,kite,,miss,,0
t15,diagonal_lda,1.01,602,8,kite,,miss,,0
t15,diagonal_lda,1.01,603,8,day,,miss,,0
t15,diagonal_lda,1.01,606,8,ban,,miss,,0
t15,diagonal_lda,1.01,607,8,day,,miss,,0
t15,diagonal_lda,1.01,608,8,choice,,miss,,0
t15,diagonal_lda,1.01,609,8,were,,miss,,0
t15,diagonal_lda,1.01,610,8,feel,,miss,,0
t15,diagonal_lda,1.01,613,8,choice,,miss,,0
t15,diagonal_lda,1.01,616,8,though,,miss,,0
t15,diagonal_lda,1.01,623,8,choice,,miss,,0
t15,diagonal_lda,1.01,626,8,day,,miss,,0
t15,diagonal_lda,1.01,629,8,feel,,miss,,0
t15,diagonal_lda,1.01,630,8,though,,miss,,0
t15,diagonal_lda,1.01,633,8,kite,,miss,,0
t15,diagonal_lda,1.01,634,8,ban,,miss,,0
t15,diagonal_lda,1.01,635,8,ban,,miss,,0
t15,diagonal_lda,1.01,636,8,day,,miss,,0
t15,diagonal_lda,1.01,637,8,ban,,miss,,0
t16,shrinkage_lda,1.01,353,13,kite,,miss,,0
t16,shrinkage_lda,1.01,355,13,feel,,miss,,0
t16,shrinkage_lda,1.01,358,13,ban,,miss,,0
t16,shrinkage_lda,1.01,359,13,day,,miss,,0
t16,shrinkage_lda,1.01,361,13,choice,,miss,,0
t16,shrinkage_lda,1.01,372,13,though,,miss,,0
t16,shrinkage_lda,1.01,373,13,were,,miss,,0
t16,shrinkage_lda,1.01,379,13,though,,miss,,0
t16,shrinkage_lda,1.01,381,13,ban,,miss,,0
t16,shrinkage_lda,1.01,382,13,kite,,miss,,0
t16,shrinkage_lda,1.01,384,13,choice,,miss,,0
t16,shrinkage_lda,1.01,385,13,feel,,miss,,0
t16,shrinkage_lda,1.01,392,13,were,,miss,,0
t16,shrinkage_lda,1.01,393,13,day,,miss,,0
t16,shrinkage_lda,1.01,396,14,were,,miss,,0
t16,shrinkage_lda,1.01,400,14,kite,,miss,,0
t16,shrinkage_lda,1.01,401,14,choice,,miss,,0
t16,shrinkage_lda,1.01,402,14,ban,,miss,,0
t16,shrinkage_lda,1.01,405,14,day,,miss,,0
t16,shrinkage_lda,1.01,406,14,feel,,miss,,0
t16,shrinkage_lda,1.01,412,14,though,,miss,,0
t16,shrinkage_lda,1.01,419,14,were,,miss,,0
t16,shrinkage_lda,1.01,420,14,choice,,miss,,0
t16,shrinkage_lda,1.01,425,14,though,,miss,,0
t16,shrinkage_lda,1.01,427,14,ban,,miss,,0
t16,shrinkage_lda,1.01,435,14,feel,,miss,,0
t16,shrinkage_lda,1.01,438,14,day,,miss,,0
t16,shrinkage_lda,1.01,439,14,kite,,miss,,0
t16,diagonal_lda,1.01,353,13,kite,,miss,,0
t16,diagonal_lda,1.01,355,13,feel,,miss,,0
t16,diagonal_lda,1.01,358,13,ban,,miss,,0
t16,diagonal_lda,1.01,359,13,day,,miss,,0
t16,diagonal_lda,1.01,361,13,choice,,miss,,0
t16,diagonal_lda,1.01,372,13,though,,miss,,0
t16,diagonal_lda,1.01,373,13,were,,miss,,0
t16,diagonal_lda,1.01,379,13,though,,miss,,0
t16,diagonal_lda,1.01,381,13,ban,,miss,,0
t16,diagonal_lda,1.01,382,13,kite,,miss,,0
t16,diagonal_lda,1.01,384,13,choice,,miss,,0
t16,diagonal_lda,1.01,385,13,feel,,miss,,0
t16,diagonal_lda,1.01,392,13,were,,miss,,0
t16,diagonal_lda,1.01,393,13,day,,miss,,0
t16,diagonal_lda,1.01,396,14,were,,miss,,0
t16,diagonal_lda,1.01,400,14,kite,,miss,,0
t16,diagonal_lda,1.01,401,14,choice,,miss,,0
t16,diagonal_lda,1.01,402,14,ban,,miss,,0
t16,diagonal_lda,1.01,405,14,day,,miss,,0
t16,diagonal_lda,1.01,406,14,feel,,miss,,0
t16,diagonal_lda,1.01,412,14,though,,miss,,0
t16,diagonal_lda,1.01,419,14,were,,miss,,0
t16,diagonal_lda,1.01,420,14,choice,,miss,,0
t16,diagonal_lda,1.01,425,14,though,,miss,,0
t16,diagonal_lda,1.01,427,14,ban,,miss,,0
t16,diagonal_lda,1.01,435,14,feel,,miss,,0
t16,diagonal_lda,1.01,438,14,day,,miss,,0
t16,diagonal_lda,1.01,439,14,kite,,miss,,0
t17,shrinkage_lda,1.01,406,19,day,,miss,,0
t17,shrinkage_lda,1.01,407,19,choice,,miss,,0
t17,shrinkage_lda,1.01,408,19,ban,,miss,,0
t17,shrinkage_lda,1.01,409,19,choice,,miss,,0
t17,shrinkage_lda,1.01,411,19,though,,miss,,0
t17,shrinkage_lda,1.01,413,19,though,,miss,,0
t17,shrinkage_lda,1.01,421,19,though,,miss,,0
t17,shrinkage_lda,1.01,422,19,choice,,miss,,0
t17,shrinkage_lda,1.01,423,19,were,,miss,,0
t17,shrinkage_lda,1.01,424,19,day,,miss,,0
t17,shrinkage_lda,1.01,425,19,though,,miss,,0
t17,shrinkage_lda,1.01,426,19,feel,,miss,,0
t17,shrinkage_lda,1.01,428,19,were,,miss,,0
t17,shrinkage_lda,1.01,431,19,were,,miss,,0
t17,shrinkage_lda,1.01,434,19,kite,,miss,,0
t17,shrinkage_lda,1.01,435,19,ban,,miss,,0
t17,shrinkage_lda,1.01,437,19,feel,,miss,,0
t17,shrinkage_lda,1.01,440,19,choice,,miss,,0
t17,shrinkage_lda,1.01,441,19,were,,miss,,0
t17,shrinkage_lda,1.01,446,19,feel,,miss,,0
t17,shrinkage_lda,1.01,448,19,choice,,miss,,0
t17,shrinkage_lda,1.01,452,19,though,,miss,,0
t17,shrinkage_lda,1.01,461,19,day,,miss,,0
t17,shrinkage_lda,1.01,462,19,feel,,miss,,0
t17,shrinkage_lda,1.01,463,19,feel,,miss,,0
t17,shrinkage_lda,1.01,468,19,ban,,miss,,0
t17,shrinkage_lda,1.01,469,19,day,,miss,,0
t17,shrinkage_lda,1.01,470,19,kite,,miss,,0
t17,shrinkage_lda,1.01,472,19,ban,,miss,,0
t17,shrinkage_lda,1.01,474,19,kite,,miss,,0
t17,shrinkage_lda,1.01,475,19,were,,miss,,0
t17,shrinkage_lda,1.01,477,19,day,,miss,,0
t17,shrinkage_lda,1.01,478,19,kite,,miss,,0
t17,shrinkage_lda,1.01,480,19,kite,,miss,,0
t17,shrinkage_lda,1.01,482,19,ban,,miss,,0
t17,shrinkage_lda,1.01,483,19,feel,,miss,,0
t17,shrinkage_lda,1.01,485,19,day,,miss,,0
t17,shrinkage_lda,1.01,486,19,day,,miss,,0
t17,shrinkage_lda,1.01,487,19,ban,,miss,,0
t17,shrinkage_lda,1.01,488,19,kite,,miss,,0
t17,shrinkage_lda,1.01,492,19,choice,,miss,,0
t17,shrinkage_lda,1.01,494,19,choice,,miss,,0
t17,shrinkage_lda,1.01,499,19,kite,,miss,,0
t17,shrinkage_lda,1.01,500,19,though,,miss,,0
t17,shrinkage_lda,1.01,501,19,day,,miss,,0
t17,shrinkage_lda,1.01,502,19,kite,,miss,,0
t17,shrinkage_lda,1.01,505,19,choice,,miss,,0
t17,shrinkage_lda,1.01,506,19,were,,miss,,0
t17,shrinkage_lda,1.01,509,19,feel,,miss,,0
t17,shrinkage_lda,1.01,511,19,kite,,miss,,0
t17,shrinkage_lda,1.01,512,19,ban,,miss,,0
t17,shrinkage_lda,1.01,513,19,choice,,miss,,0
t17,shrinkage_lda,1.01,516,19,were,,miss,,0
t17,shrinkage_lda,1.01,517,19,ban,,miss,,0
t17,shrinkage_lda,1.01,519,19,were,,miss,,0
t17,shrinkage_lda,1.01,520,19,day,,miss,,0
t17,shrinkage_lda,1.01,523,19,ban,,miss,,0
t17,shrinkage_lda,1.01,524,19,though,,miss,,0
t17,shrinkage_lda,1.01,525,19,day,,miss,,0
t17,shrinkage_lda,1.01,526,19,though,,miss,,0
t17,shrinkage_lda,1.01,527,19,though,,miss,,0
t17,shrinkage_lda,1.01,529,19,choice,,miss,,0
t17,shrinkage_lda,1.01,532,19,were,,miss,,0
t17,shrinkage_lda,1.01,535,19,ban,,miss,,0
t17,shrinkage_lda,1.01,538,19,feel,,miss,,0
t17,shrinkage_lda,1.01,540,19,feel,,miss,,0
t17,shrinkage_lda,1.01,542,19,were,,miss,,0
t17,shrinkage_lda,1.01,543,19,though,,miss,,0
t17,shrinkage_lda,1.01,546,19,feel,,miss,,0
t17,shrinkage_lda,1.01,548,19,kite,,miss,,0
t17,diagonal_lda,1.01,406,19,day,,miss,,0
t17,diagonal_lda,1.01,407,19,choice,,miss,,0
t17,diagonal_lda,1.01,408,19,ban,,miss,,0
t17,diagonal_lda,1.01,409,19,choice,,miss,,0
t17,diagonal_lda,1.01,411,19,though,,miss,,0
t17,diagonal_lda,1.01,413,19,though,,miss,,0
t17,diagonal_lda,1.01,421,19,though,,miss,,0
t17,diagonal_lda,1.01,422,19,choice,,miss,,0
t17,diagonal_lda,1.01,423,19,were,,miss,,0
t17,diagonal_lda,1.01,424,19,day,,miss,,0
t17,diagonal_lda,1.01,425,19,though,,miss,,0
t17,diagonal_lda,1.01,426,19,feel,,miss,,0
t17,diagonal_lda,1.01,428,19,were,,miss,,0
t17,diagonal_lda,1.01,431,19,were,,miss,,0
t17,diagonal_lda,1.01,434,19,kite,,miss,,0
t17,diagonal_lda,1.01,435,19,ban,,miss,,0
t17,diagonal_lda,1.01,437,19,feel,,miss,,0
t17,diagonal_lda,1.01,440,19,choice,,miss,,0
t17,diagonal_lda,1.01,441,19,were,,miss,,0
t17,diagonal_lda,1.01,446,19,feel,,miss,,0
t17,diagonal_lda,1.01,448,19,choice,,miss,,0
t17,diagonal_lda,1.01,452,19,though,,miss,,0
t17,diagonal_lda,1.01,461,19,day,,miss,,0
t17,diagonal_lda,1.01,462,19,feel,,miss,,0
t17,diagonal_lda,1.01,463,19,feel,,miss,,0
t17,diagonal_lda,1.01,468,19,ban,,miss,,0
t17,diagonal_lda,1.01,469,19,day,,miss,,0
t17,diagonal_lda,1.01,470,19,kite,,miss,,0
t17,diagonal_lda,1.01,472,19,ban,,miss,,0
t17,diagonal_lda,1.01,474,19,kite,,miss,,0
t17,diagonal_lda,1.01,475,19,were,,miss,,0
t17,diagonal_lda,1.01,477,19,day,,miss,,0
t17,diagonal_lda,1.01,478,19,kite,,miss,,0
t17,diagonal_lda,1.01,480,19,kite,,miss,,0
t17,diagonal_lda,1.01,482,19,ban,,miss,,0
t17,diagonal_lda,1.01,483,19,feel,,miss,,0
t17,diagonal_lda,1.01,485,19,day,,miss,,0
t17,diagonal_lda,1.01,486,19,day,,miss,,0
t17,diagonal_lda,1.01,487,19,ban,,miss,,0
t17,diagonal_lda,1.01,488,19,kite,,miss,,0
t17,diagonal_lda,1.01,492,19,choice,,miss,,0
t17,diagonal_lda,1.01,494,19,choice,,miss,,0
t17,diagonal_lda,1.01,499,19,kite,,miss,,0
t17,diagonal_lda,1.01,500,19,though,,miss,,0
t17,diagonal_lda,1.01,501,19,day,,miss,,0
t17,diagonal_lda,1.01,502,19,kite,,miss,,0
t17,diagonal_lda,1.01,505,19,choice,,miss,,0
t17,diagonal_lda,1.01,506,19,were,,miss,,0
t17,diagonal_lda,1.01,509,19,feel,,miss,,0
t17,diagonal_lda,1.01,511,19,kite,,miss,,0
t17,diagonal_lda,1.01,512,19,ban,,miss,,0
t17,diagonal_lda,1.01,513,19,choice,,miss,,0
t17,diagonal_lda,1.01,516,19,were,,miss,,0
t17,diagonal_lda,1.01,517,19,ban,,miss,,0
t17,diagonal_lda,1.01,519,19,were,,miss,,0
t17,diagonal_lda,1.01,520,19,day,,miss,,0
t17,diagonal_lda,1.01,523,19,ban,,miss,,0
t17,diagonal_lda,1.01,524,19,though,,miss,,0
t17,diagonal_lda,1.01,525,19,day,,miss,,0
t17,diagonal_lda,1.01,526,19,though,,miss,,0
t17,diagonal_lda,1.01,527,19,though,,miss,,0
t17,diagonal_lda,1.01,529,19,choice,,miss,,0
t17,diagonal_lda,1.01,532,19,were,,miss,,0
t17,diagonal_lda,1.01,535,19,ban,,miss,,0
t17,diagonal_lda,1.01,538,19,feel,,miss,,0
t17,diagonal_lda,1.01,540,19,feel,,miss,,0
t17,diagonal_lda,1.01,542,19,were,,miss,,0
t17,diagonal_lda,1.01,543,19,though,,miss,,0
t17,diagonal_lda,1.01,546,19,feel,,miss,,0
t17,diagonal_lda,1.01,548,19,kite,,miss,,0
